Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 8:53:35 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 8:53:48 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 8:53:48 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 8:53:48 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 8:56:34 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 8:56:47 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 8:56:47 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 8:57:00 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 8:57:39 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 8:57:52 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 8:57:52 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 8:57:52 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 8:58:05 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 8:58:31 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 9:40:35 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 9:40:48 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 9:40:48 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 9:40:48 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 9:41:01 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 9:46:54 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 9:46:54 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 9:46:54 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 9:47:07 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 9:47:33 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:35:37 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:37:38 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 10:37:51 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 10:37:51 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:37:51 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 10:38:04 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:38:30 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 10:38:43 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:38:43 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 10:38:56 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 10:38:56 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:38:56 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 8.91006524188368, Time 2/27/2021 10:39:09 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:39:35 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 10:39:48 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 10:39:48 AM
